Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,VisitorType,Weekend,Revenue
2,9.0,0,0.0,50,836.8,0,0,0,0,3,0,0,0
10,293.77820510000004,2,153.0,96,3283.1667390000002,0,0,0,0,3,0,1,0
9,111.5,1,48.5,49,1868.819697,0,0,1,0,3,0,0,1
3,47.0,1,51.0,68,3008.124108,0,0,46,0,3,0,0,0
3,1226.0,5,3.0,24,3230.25,0,0,0,0,3,0,0,0
3,52.0,0,0.0,9,319.0,0,0,0,0,3,0,0,0
2,56.0,1,144.0,67,2563.783333,0,0,19,0,3,1,0,1
3,112.96078429999999,0,0.0,13,3014.018519,0,0,0,0,3,0,0,0
3,94.0,2,125.0,55,1970.8448050000002,0,0,96,0,3,1,1,1
1,32.0,0,0.0,50,2867.0,0,0,153,0,3,0,1,1
5,218.0,0,0.0,13,284.5,0,0,0,0,3,1,0,0
1,119.0,0,0.0,12,297.6666667,0,0,0,0,3,0,0,0
3,281.0,0,0.0,16,453.75,0,0,0,0,3,1,0,0
1,18.0,0,0.0,16,1331.75,0,0,33,0,3,1,0,1
2,40.0,0,0.0,5,558.5,0,0,0,0,3,1,1,0
3,107.0,0,0.0,4,145.83333330000002,0,0,0,0,3,1,0,0
2,49.0,1,127.0,4,188.0,0,0,0,0,3,0,0,0
4,57.0,0,0.0,7,591.0,0,0,0,0,3,0,1,0
2,2.0,3,261.0,10,281.0,0,0,0,0,3,0,0,0
2,123.0,2,306.3333333,18,483.83333330000005,0,0,0,0,3,0,0,0
2,118.0,0,0.0,4,42.0,0,0,0,0,3,0,0,0
2,38.0,0,0.0,14,643.0,0,0,35,0,3,0,0,1
1,54.0,0,0.0,6,210.5,0,0,0,0,3,1,0,0
1,993.0,0,0.0,28,1529.30467,0,0,0,0,3,0,0,0
5,74.25,2,84.0,37,1599.083333,0,0,0,0,3,0,0,0
2,32.0,0,0.0,50,1245.3,0,0,7,0,3,0,1,0
6,666.8333332999999,0,0.0,22,1674.583333,0,0,0,0,3,0,0,0
1,73.0,1,740.0,50,1434.255128,0,0,22,0,3,0,1,0
2,154.0,0,0.0,18,367.25,0,0,0,0,3,0,1,0
3,49.33333333,5,303.25,7,148.5,0,0,0,0,3,0,0,0
3,118.5,0,0.0,29,1482.2107839999999,0,0,0,0,3,0,1,0
6,153.5,0,0.0,34,1048.4920630000001,0,0,0,0,3,0,1,0
8,72.25,1,21.5,51,1124.693074,0,0,0,0,3,0,0,0
2,24.5,0,0.0,22,353.1666667,0,0,0,0,3,0,0,0
1,0.0,0,0.0,18,1489.083333,0,0,0,0,3,0,0,0
1,22.0,0,0.0,9,415.25,0,0,0,0,3,0,0,0
16,155.6313131,0,0.0,32,908.013456,0,0,4,0,3,0,0,1
1,21.33333333,1,235.0,71,2753.378571,0,0,0,0,3,0,1,0
2,191.0,1,100.0,46,2452.582143,0,0,0,0,3,0,1,0
4,96.5,0,0.0,19,1430.659091,0,0,0,0,3,0,0,0
1,13.0,0,0.0,2,20.0,0,0,0,0,3,0,0,0
5,1388.75,0,0.0,4,1373.75,0,0,0,0,3,0,0,0
3,51.0,0,0.0,14,527.375,0,0,0,0,3,0,1,0
1,158.0,1,64.0,29,1916.761905,0,0,8,0,3,0,1,1
1,10.0,0,0.0,14,348.6666667,0,0,0,0,3,0,1,0
1,28.0,1,47.0,13,224.5,0,0,0,0,3,1,0,0
4,27.0,0,0.0,42,601.7666667000001,0,0,0,0,3,0,0,0
4,15.0,0,0.0,10,197.2,0,0,38,0,3,0,1,1
2,390.0,0,0.0,10,1169.1,0,0,0,0,3,0,0,0
11,215.52380950000003,1,70.0,87,3037.499952,0,0,0,0,3,0,0,0
1,11.0,0,0.0,51,1059.253472,0,0,0,0,3,0,0,0
2,20.0,0,0.0,7,720.0,0,0,0,0,3,0,0,0
2,8.0,1,14.33333333,14,603.6666667000001,0,0,44,0,3,0,0,1
4,171.25,0,0.0,22,851.5595238,0,0,0,0,3,0,0,0
5,227.33333330000002,0,0.0,17,528.9,0,0,0,0,3,0,1,0
5,86.0,0,0.0,23,267.3,0,0,0,0,3,0,1,0
2,7.0,0,0.0,10,75.0,0,0,0,0,3,0,0,0
7,186.9761905,2,40.0,35,1276.157071,0,0,0,0,3,0,0,0
3,138.0,2,136.0,54,2631.1,0,0,0,0,3,0,0,0
2,374.0,0,0.0,3,1370.0,0,0,0,0,3,0,0,0
